	time	frame	subF	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
UL	0.0268208	26	8	4	1	1	5	0	885	28	0	34.5669 	0	1.14131e-13
UL	0.026825	26	8	5	1	1	6	0	162	9	0	3.01873 	0	0.0369345
UL	0.0268333	26	8	6	2	1	7	0	48	0	0	-8.06923 	1	0.990366
UL	0.0268374	26	8	8	1	1	8	0	139	8	0	3.33865 	0	2.10241e-08
UL	0.0268416	26	8	9	1	1	9	0	32	2	0	-4.33183 	0	0.0368527
UL	0.0268458	26	8	10	1	1	10	0	74	5	0	-1.11053 	0	0.0085541
UL	0.0268499	26	8	11	1	1	11	0	162	9	0	3.53788 	0	1.4877e-13
UL	0.0268541	26	8	12	1	1	12	0	885	28	0	32.8112 	0	1.14131e-13
UL	0.0268582	26	8	13	1	1	13	0	434	18	0	12.8247 	0	0.0577487
UL	0.0268624	26	8	14	1	1	14	0	162	9	0	3.34268 	0	4.55257e-05
UL	0.0268666	26	8	15	1	1	15	0	162	9	0	2.86355 	0	0.0255521
UL	0.0268707	26	8	16	1	1	16	0	94	6	0	1.96848 	0	3.9535e-13
UL	0.0268749	26	8	17	1	1	17	0	726	24	0	17.9234 	0	0.00255483
UL	0.026879	26	8	18	1	1	18	0	94	6	0	0.713721 	0	0.00835256
UL	0.0268832	26	8	19	1	1	20	0	726	24	0	17.359 	0	0.0834167
UL	0.0271125	27	1	1	2	1	7	0	48	0	1	-7.92103 	0	1.871e-07
DL	0.0272166	27	2	1	3	1	19	0	74	0	2	-11.7733	 	0	0.0951476
DL	0.0273083	27	3	1	1	1	2	0	94	6	0	1.91627	 	0	5.82312e-14
DL	0.0273125	27	3	2	1	1	3	0	94	6	0	1.31472	 	0	1.68321e-12
DL	0.0273166	27	3	3	1	1	4	0	139	8	0	3.82835	 	0	2.11049e-11
DL	0.0273208	27	3	4	1	1	5	0	885	28	0	34.5691	 	0	1.14131e-13
DL	0.027325	27	3	5	1	1	6	0	94	6	0	1.1588	 	0	3.33067e-16
DL	0.0273291	27	3	6	1	1	8	0	139	8	0	3.22266	 	0	9.68588e-09
DL	0.0273333	27	3	7	1	1	9	0	32	2	0	-3.61754	 	0	0.000181906
DL	0.0273374	27	3	8	1	1	10	0	58	4	0	-1.17439	 	0	0.000119758
DL	0.0273416	27	3	9	1	1	11	0	139	8	0	3.54273	 	0	0
DL	0.0273458	27	3	10	1	1	12	0	885	28	0	32.8066	 	0	1.14131e-13
DL	0.0273499	27	3	11	1	1	13	0	434	18	0	12.937	 	0	0
DL	0.0273541	27	3	12	1	1	14	0	139	8	0	3.23977	 	0	6.71884e-10
DL	0.0273582	27	3	13	1	1	15	0	139	8	0	2.94549	 	0	8.39091e-09
DL	0.0273624	27	3	14	1	1	16	0	94	6	0	0.811909	 	0	0.0020666
DL	0.0273666	27	3	15	1	1	17	0	628	22	0	17.5344	 	0	4.31772e-10
DL	0.0273707	27	3	16	1	1	18	0	94	6	0	0.344247	 	0	0.0240896
DL	0.0273749	27	3	17	1	1	20	0	726	24	0	18.0798	 	1	0.738435
DL	0.0278083	27	8	1	1	1	20	0	726	24	1	18.326	 	0	0
UL	0.0278166	27	8	2	2	1	19	0	48	0	0	-11.5272 	1	1
UL	0.0281125	28	1	1	2	1	19	0	48	0	1	-11.5225 	1	0.994081
UL	0.0284125	28	4	1	2	1	19	0	48	0	2	-11.5159 	0	0.117251
DL	0.0365166	36	5	1	3	1	7	0	74	0	0	-10.0958	 	1	1
DL	0.0370166	37	0	1	3	1	7	0	74	0	1	-9.97079	 	0	0.347011
UL	0.0371125	37	1	1	2	1	7	0	48	0	0	-9.56706 	1	0.999998
UL	0.0374125	37	4	1	2	1	7	0	48	0	1	-9.68226 	0	0.221304
DL	0.0375166	37	5	1	3	1	19	0	74	0	0	-11.6449	 	1	1
DL	0.0380166	38	0	1	3	1	19	0	74	0	1	-11.6398	 	1	0.999824
DL	0.0385166	38	5	1	3	1	19	0	74	0	2	-11.6428	 	0	0.0443422
DL	0.0473166	47	3	1	3	1	7	0	74	0	0	-8.11183	 	1	0.997949
UL	0.0474125	47	4	1	2	1	7	0	48	0	0	-8.30377 	1	0.997509
UL	0.0474208	47	4	3	2	1	19	0	48	0	0	-11.5264 	1	1
UL	0.0476125	47	6	1	2	1	7	0	48	0	0	-8.2183 	1	0.996448
UL	0.0477125	47	7	1	2	1	7	0	48	0	1	-8.17527 	0	1.41993e-05
UL	0.0477208	47	7	3	2	1	19	0	48	0	1	-11.5251 	1	0.99464
DL	0.0478166	47	8	1	3	1	7	0	74	0	1	-8.71872	 	0	9.22233e-11
UL	0.0479125	47	9	1	2	1	7	0	48	0	1	-8.09026 	0	5.44939e-06
UL	0.0480125	48	0	1	2	1	19	0	48	0	2	-11.5256 	0	0.130695
DL	0.0488083	48	8	1	1	1	19	0	22	0	0	-11.5478	 	1	1
DL	0.0493083	49	3	1	1	1	19	0	22	0	1	-11.55	 	1	0.993887
DL	0.0498083	49	8	1	1	1	19	0	22	0	2	-11.5495	 	0	0.311467
UL	0.0579208	57	9	3	2	1	7	0	48	0	0	-10.0231 	1	1
UL	0.0582125	58	2	1	2	1	7	0	48	0	1	-10.3393 	1	0.633165
UL	0.0585125	58	5	1	2	1	7	0	48	0	2	-10.5675 	0	6.67836e-06
DL	0.0590083	59	0	1	1	1	7	0	22	0	0	-7.58768	 	1	0.932425
DL	0.0595083	59	5	1	1	1	7	0	22	0	1	-7.53137	 	0	3.44564e-07
DL	0.103612	103	6	1	2	1	21	0	48	0	0	-36.9153	 	1	1
DL	0.104112	104	1	1	2	1	21	0	48	0	1	-36.9255	 	1	1
DL	0.104612	104	6	1	2	1	21	0	48	0	2	-36.9361	 	1	1
DL	0.105112	105	1	1	2	1	21	0	48	0	3	-36.947	 	1	0.999996
DL	0.208112	208	1	1	2	1	22	0	48	0	0	-41.9016	 	1	1
DL	0.208612	208	6	1	2	1	22	0	48	0	1	-41.915	 	1	1
DL	0.209112	209	1	1	2	1	22	0	48	0	2	-41.9239	 	1	1
DL	0.209612	209	6	1	2	1	22	0	48	0	3	-41.928	 	1	0.999996
DL	0.308612	308	6	1	2	1	23	0	48	0	0	-42.5591	 	1	1
DL	0.309112	309	1	1	2	1	23	0	48	0	1	-42.5599	 	1	1
DL	0.309612	309	6	1	2	1	23	0	48	0	2	-42.5613	 	1	1
DL	0.310112	310	1	1	2	1	23	0	48	0	3	-42.5633	 	1	0.999996
DL	0.413112	413	1	1	2	1	24	0	48	0	0	-41.7325	 	1	1
DL	0.413612	413	6	1	2	1	24	0	48	0	1	-41.7281	 	1	1
DL	0.414112	414	1	1	2	1	24	0	48	0	2	-41.7246	 	1	1
