	time	frame	subF	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.629946	629	9	1	10	1	1	0	17809	28	0	69.278	 	0	0
UL	0.630508	630	5	1	1	1	1	0	1776	28	0	69.278 	0	0
DL	0.631008	631	0	1	1	1	1	0	1776	28	0	69.278	 	0	0
UL	0.631608	631	6	1	1	1	1	0	1776	28	0	69.278 	0	0
UL	0.633608	633	6	1	1	1	1	0	1776	28	0	69.278 	0	0
DL	0.634108	634	1	1	1	1	1	0	1776	28	0	69.278	 	0	0
DL	0.636142	636	1	1	9	1	1	0	16030	28	0	69.278	 	0	0
UL	0.636708	636	7	1	1	1	1	0	1776	28	0	69.278 	0	0
DL	0.637208	637	2	1	1	1	1	0	1776	28	0	69.278	 	0	0
UL	0.637808	637	8	1	1	1	1	0	1776	28	0	69.278 	0	0
UL	0.639808	639	8	1	1	1	1	0	1776	28	0	69.278 	0	0
DL	0.640308	640	3	1	1	1	1	0	1776	28	0	69.278	 	0	0
DL	0.642342	642	3	1	9	1	1	0	16030	28	0	69.278	 	0	0
UL	0.642908	642	9	1	1	1	1	0	1776	28	0	69.278 	0	0
DL	0.643408	643	4	1	1	1	1	0	1776	28	0	69.278	 	0	0
UL	0.644008	644	0	1	1	1	1	0	1776	28	0	69.278 	0	0
UL	0.646008	646	0	1	1	1	1	0	1776	28	0	69.278 	0	0
DL	0.646508	646	5	1	1	1	1	0	1776	28	0	69.278	 	0	0
DL	0.648542	648	5	1	9	1	1	0	16030	28	0	69.278	 	0	0
UL	0.649108	649	1	1	1	1	1	0	1776	28	0	69.278 	0	0
DL	0.649608	649	6	1	1	1	1	0	1776	28	0	69.278	 	0	0
UL	0.650208	650	2	1	1	1	1	0	1776	28	0	69.278 	0	0
UL	0.652208	652	2	1	1	1	1	0	1776	28	0	69.278 	0	0
DL	0.652708	652	7	1	1	1	1	0	1776	28	0	69.278	 	0	0
DL	0.654742	654	7	1	9	1	1	0	16030	28	0	69.278	 	0	0
UL	0.655308	655	3	1	1	1	1	0	1776	28	0	69.278 	0	0
DL	0.655808	655	8	1	1	1	1	0	1776	28	0	69.278	 	0	0
UL	0.656408	656	4	1	1	1	1	0	1776	28	0	69.278 	0	0
UL	0.658408	658	4	1	1	1	1	0	1776	28	0	69.278 	0	0
DL	0.658908	658	9	1	1	1	1	0	1776	28	0	69.278	 	0	0
DL	0.660942	660	9	1	9	1	1	0	16030	28	0	69.278	 	0	0
UL	0.661508	661	5	1	1	1	1	0	1776	28	0	69.278 	0	0
DL	0.662008	662	0	1	1	1	1	0	1776	28	0	69.278	 	0	0
UL	0.662608	662	6	1	1	1	1	0	1776	28	0	69.278 	0	0
UL	0.664608	664	6	1	1	1	1	0	1776	28	0	69.278 	0	0
DL	0.665108	665	1	1	1	1	1	0	1776	28	0	69.278	 	0	0
DL	0.667146	667	1	1	10	1	1	0	17809	28	0	69.278	 	0	0
UL	0.667708	667	7	1	1	1	1	0	1776	28	0	69.278 	0	0
DL	0.668208	668	2	1	1	1	1	0	1776	28	0	69.278	 	0	0
UL	0.668808	668	8	1	1	1	1	0	1776	28	0	69.278 	0	0
UL	0.670808	670	8	1	1	1	1	0	1776	28	0	69.278 	0	0
DL	0.671308	671	3	1	1	1	1	0	1776	28	0	69.278	 	0	0
DL	0.673342	673	3	1	9	1	1	0	16030	28	0	69.278	 	0	0
UL	0.673908	673	9	1	1	1	1	0	1776	28	0	69.278 	0	0
DL	0.674408	674	4	1	1	1	1	0	1776	28	0	69.278	 	0	0
UL	0.675008	675	0	1	1	1	1	0	1776	28	0	69.278 	0	0
UL	0.677008	677	0	1	1	1	1	0	1776	28	0	69.278 	0	0
DL	0.677508	677	5	1	1	1	1	0	1776	28	0	69.278	 	0	0
DL	0.679542	679	5	1	9	1	1	0	16030	28	0	69.278	 	0	0
UL	0.680108	680	1	1	1	1	1	0	1776	28	0	69.278 	0	0
DL	0.680608	680	6	1	1	1	1	0	1776	28	0	69.278	 	0	0
UL	0.681208	681	2	1	1	1	1	0	1776	28	0	69.278 	0	0
UL	0.683208	683	2	1	1	1	1	0	1776	28	0	69.278 	0	0
DL	0.683708	683	7	1	1	1	1	0	1776	28	0	69.278	 	0	0
DL	0.685742	685	7	1	9	1	1	0	16030	28	0	69.278	 	0	0
UL	0.686308	686	3	1	1	1	1	0	1776	28	0	69.278 	0	0
DL	0.686808	686	8	1	1	1	1	0	1776	28	0	69.278	 	0	0
UL	0.687408	687	4	1	1	1	1	0	1776	28	0	69.278 	0	0
UL	0.689408	689	4	1	1	1	1	0	1776	28	0	69.278 	0	0
DL	0.689908	689	9	1	1	1	1	0	1776	28	0	69.278	 	0	0
DL	0.691942	691	9	1	9	1	1	0	16030	28	0	69.278	 	0	0
UL	0.692508	692	5	1	1	1	1	0	1776	28	0	69.278 	0	0
DL	0.693008	693	0	1	1	1	1	0	1776	28	0	69.278	 	0	0
UL	0.693608	693	6	1	1	1	1	0	1776	28	0	69.278 	0	0
UL	0.695608	695	6	1	1	1	1	0	1776	28	0	69.278 	0	0
DL	0.696108	696	1	1	1	1	1	0	1776	28	0	69.278	 	0	0
DL	0.698142	698	1	1	9	1	1	0	16030	28	0	69.278	 	0	0
UL	0.698708	698	7	1	1	1	1	0	1776	28	0	69.278 	0	0
DL	0.699208	699	2	1	1	1	1	0	1776	28	0	69.278	 	0	0
UL	0.699808	699	8	1	1	1	1	0	1776	28	0	69.278 	0	0
UL	0.701808	701	8	1	1	1	1	0	1776	28	0	72.972 	0	0
DL	0.702308	702	3	1	1	1	1	0	1776	28	0	72.972	 	0	0
DL	0.704342	704	3	1	9	1	1	0	16030	28	0	72.972	 	0	0
UL	0.704908	704	9	1	1	1	1	0	1776	28	0	72.972 	0	0
DL	0.705408	705	4	1	1	1	1	0	1776	28	0	72.972	 	0	0
UL	0.706008	706	0	1	1	1	1	0	1776	28	0	72.972 	0	0
UL	0.708008	708	0	1	1	1	1	0	1776	28	0	72.972 	0	0
DL	0.708508	708	5	1	1	1	1	0	1776	28	0	72.972	 	0	0
DL	0.710542	710	5	1	9	1	1	0	16030	28	0	72.972	 	0	0
UL	0.711108	711	1	1	1	1	1	0	1776	28	0	72.972 	0	0
DL	0.711608	711	6	1	1	1	1	0	1776	28	0	72.972	 	0	0
UL	0.712208	712	2	1	1	1	1	0	1776	28	0	72.972 	0	0
UL	0.714208	714	2	1	1	1	1	0	1776	28	0	72.972 	0	0
DL	0.714708	714	7	1	1	1	1	0	1776	28	0	72.972	 	0	0
DL	0.716742	716	7	1	9	1	1	0	16030	28	0	72.972	 	0	0
UL	0.717308	717	3	1	1	1	1	0	1776	28	0	72.972 	0	0
DL	0.717808	717	8	1	1	1	1	0	1776	28	0	72.972	 	0	0
UL	0.718408	718	4	1	1	1	1	0	1776	28	0	72.972 	0	0
UL	0.720408	720	4	1	1	1	1	0	1776	28	0	72.972 	0	0
DL	0.720908	720	9	1	1	1	1	0	1776	28	0	72.972	 	0	0
DL	0.722942	722	9	1	9	1	1	0	16030	28	0	72.972	 	0	0
UL	0.723508	723	5	1	1	1	1	0	1776	28	0	72.972 	0	0
DL	0.724008	724	0	1	1	1	1	0	1776	28	0	72.972	 	0	0
UL	0.724608	724	6	1	1	1	1	0	1776	28	0	72.972 	0	0
UL	0.726608	726	6	1	1	1	1	0	1776	28	0	72.972 	0	0
DL	0.727108	727	1	1	1	1	1	0	1776	28	0	72.972	 	0	0
DL	0.729142	729	1	1	9	1	1	0	16030	28	0	72.972	 	0	0
UL	0.729708	729	7	1	1	1	1	0	1776	28	0	72.972 	0	0
DL	0.730208	730	2	1	1	1	1	0	1776	28	0	72.972	 	0	0
UL	0.730808	730	8	1	1	1	1	0	1776	28	0	72.972 	0	0
UL	0.732808	732	8	1	1	1	1	0	1776	28	0	72.972 	0	0
DL	0.733308	733	3	1	1	1	1	0	1776	28	0	72.972	 	0	0
DL	0.735342	735	3	1	9	1	1	0	16030	28	0	72.972	 	0	0
UL	0.735908	735	9	1	1	1	1	0	1776	28	0	72.972 	0	0
